#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
2907,WASP-52,000-BLD-637,2459527.794349,12.205,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,1.769,False
2908,WASP-52,000-BLD-637,2459534.634347,12.1474,0.0093,False,Unfiltered with V Zeropoint,CCD,KADB,1.087,False
2909,WASP-52,000-BLD-637,2459534.637348,12.1717,0.0095,False,Unfiltered with V Zeropoint,CCD,KADB,1.088,False
2910,WASP-52,000-BLD-637,2459534.638348,12.2002,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.089,False
2911,WASP-52,000-BLD-637,2459534.640348,12.2168,0.0102,False,Unfiltered with V Zeropoint,CCD,KADB,1.090,False
2912,WASP-52,000-BLD-637,2459534.642348,12.2008,0.0100,False,Unfiltered with V Zeropoint,CCD,KADB,1.091,False
2913,WASP-52,000-BLD-637,2459534.644348,12.2022,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.093,False
2914,WASP-52,000-BLD-637,2459534.646348,12.173,0.0095,False,Unfiltered with V Zeropoint,CCD,KADB,1.095,False
2915,WASP-52,000-BLD-637,2459534.648349,12.1814,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.097,False
2916,WASP-52,000-BLD-637,2459534.650349,12.1898,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.099,False
2917,WASP-52,000-BLD-637,2459534.652349,12.1883,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.101,False
2918,WASP-52,000-BLD-637,2459534.654349,12.1902,0.0102,False,Unfiltered with V Zeropoint,CCD,KADB,1.104,False
2919,WASP-52,000-BLD-637,2459534.656349,12.1636,0.0095,False,Unfiltered with V Zeropoint,CCD,KADB,1.106,False
2920,WASP-52,000-BLD-637,2459534.658339,12.2017,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.109,False
2921,WASP-52,000-BLD-637,2459534.661340,12.1606,0.0095,False,Unfiltered with V Zeropoint,CCD,KADB,1.114,False
2922,WASP-52,000-BLD-637,2459534.663340,12.1743,0.0096,False,Unfiltered with V Zeropoint,CCD,KADB,1.117,False
2923,WASP-52,000-BLD-637,2459534.665340,12.1903,0.0101,False,Unfiltered with V Zeropoint,CCD,KADB,1.120,False
2924,WASP-52,000-BLD-637,2459534.667340,12.1695,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.124,False
2925,WASP-52,000-BLD-637,2459534.669340,12.1577,0.0095,False,Unfiltered with V Zeropoint,CCD,KADB,1.128,False
2926,WASP-52,000-BLD-637,2459534.671340,12.1755,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.132,False
2927,WASP-52,000-BLD-637,2459534.673341,12.1874,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.136,False
2928,WASP-52,000-BLD-637,2459534.675341,12.1692,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.140,False
2929,WASP-52,000-BLD-637,2459534.677341,12.1754,0.0097,False,Unfiltered with V Zeropoint,CCD,KADB,1.145,False
2930,WASP-52,000-BLD-637,2459534.679341,12.1889,0.0098,False,Unfiltered with V Zeropoint,CCD,KADB,1.149,False
2931,WASP-52,000-BLD-637,2459534.681341,12.1936,0.0101,False,Unfiltered with V Zeropoint,CCD,KADB,1.154,False
2932,WASP-52,000-BLD-637,2459534.683342,12.2151,0.0100,False,Unfiltered with V Zeropoint,CCD,KADB,1.159,False
2933,WASP-52,000-BLD-637,2459534.686342,12.1967,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.168,False
2934,WASP-52,000-BLD-637,2459534.688342,12.1982,0.0099,False,Unfiltered with V Zeropoint,CCD,KADB,1.173,False
2935,WASP-52,000-BLD-637,2459534.690342,12.2243,0.0102,False,Unfiltered with V Zeropoint,CCD,KADB,1.179,False
