JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457270.47557,12.210,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.402,-8.005,,WASP-52,AAVSO,STD,0,,,
2457270.47633,12.251,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.410,-7.987,,WASP-52,AAVSO,STD,0,,,
2457270.47711,12.239,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.401,-7.991,,WASP-52,AAVSO,STD,0,,,
2457270.47787,12.240,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.389,-7.965,,WASP-52,AAVSO,STD,0,,,
2457270.47863,12.239,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.379,-7.966,,WASP-52,AAVSO,STD,0,,,
2457270.47941,12.236,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.373,-7.957,,WASP-52,AAVSO,STD,0,,,
2457270.48017,12.249,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.363,-7.953,,WASP-52,AAVSO,STD,0,,,
2457270.48171,12.260,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.387,-7.952,,WASP-52,AAVSO,STD,0,,,
2457270.48248,12.237,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.369,-7.961,,WASP-52,AAVSO,STD,0,,,
2457270.48325,12.252,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.368,-7.944,,WASP-52,AAVSO,STD,0,,,
2457270.48402,12.258,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.386,-7.961,,WASP-52,AAVSO,STD,0,,,
2457270.48478,12.251,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.388,-7.972,,WASP-52,AAVSO,STD,0,,,
2457270.48556,12.231,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.384,-7.986,,WASP-52,AAVSO,STD,0,,,
2457270.48632,12.256,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.413,-7.980,,WASP-52,AAVSO,STD,0,,,
2457270.48708,12.237,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.379,-7.974,,WASP-52,AAVSO,STD,0,,,
2457270.48786,12.268,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.398,-7.966,,WASP-52,AAVSO,STD,0,,,
2457270.48862,12.248,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.384,-7.975,,WASP-52,AAVSO,STD,0,,,
2457270.48940,12.254,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.398,-7.973,,WASP-52,AAVSO,STD,0,,,
2457270.49016,12.237,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.399,-7.991,,WASP-52,AAVSO,STD,0,,,
2457270.49093,12.233,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.396,-7.986,,WASP-52,AAVSO,STD,0,,,
2457270.49170,12.247,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.419,-8.005,,WASP-52,AAVSO,STD,0,,,
2457270.49247,12.243,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.401,-7.990,,WASP-52,AAVSO,STD,0,,,
2457270.49323,12.224,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.395,-7.974,,WASP-52,AAVSO,STD,0,,,
2457270.49400,12.247,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.406,-7.985,,WASP-52,AAVSO,STD,0,,,
2457270.49477,12.232,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.392,-7.968,,WASP-52,AAVSO,STD,0,,,
2457270.49553,12.255,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.407,-7.979,,WASP-52,AAVSO,STD,0,,,
2457270.49631,12.231,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.393,-7.976,,WASP-52,AAVSO,STD,0,,,
2457270.49707,12.237,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.386,-7.980,,WASP-52,AAVSO,STD,0,,,
2457270.49785,12.242,0.006,,V,STAC,,120,TYC 1161-1249-1,X15386FZ,,0,,Z,-8.394,-7.958,,WASP-52,AAVSO,STD,0,,,
